symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num-of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,price_binned
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.873137914,5.365975104,33.11334356,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.82352941,22,13499,low
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.887073522,5.365975104,34.11334356,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.82352941,22,14399,low
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.887073522,5.365975104,33.11334356,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,12.36842105,25,13499,low
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.820278712,6.765975104,27.71334356,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.36842105,25,17199,low
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.820278712,6.765975104,27.71334356,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.82352941,23,19699,mid
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.857760692,6.765975104,27.71334356,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.36842105,25,18399,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,11900,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3197,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,13200,low
0,41,peugot,gas,std,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,12440,low
0,41,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3430,l,four,152,idi,3.7,3.52,21,95,4150,9.4,25,13860,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.36842105,24,15580,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3252,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,16900,low
0,41,peugot,gas,std,four,wagon,rwd,front,114.2,0.955790485,7.265975104,34.71334356,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.36842105,24,16695,low
0,41,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3485,l,four,152,idi,3.7,3.52,21,95,4150,9.4,25,17075,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,16630,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3252,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,17950,low
0,161,peugot,gas,turbo,four,sedan,rwd,front,108,0.897164825,7.165975104,34.01334356,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,13.05555556,24,18150,low
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,6.351351351,41,5572,low
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666667,30,7957,low
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.61334356,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6229,low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.803940413,2.665975104,28.81334356,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6692,low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.803940413,2.665975104,28.81334356,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,7609,low
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,0.839019702,3.465975104,37.81334356,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.791666667,30,8921,low
3,41,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,0.832292167,5.165975104,28.21334356,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,12764,low
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,0.811629025,7.165975104,28.21334356,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,12.36842105,27,22018,mid
3,41,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,32528,high
3,41,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,34028,high
3,41,porsche,gas,std,two,convertible,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,37028,high
1,41,porsche,gas,std,two,hatchback,rwd,front,98.4,0.844305622,11.1659751,28.51334356,3366,dohcv,eight,203,mpfi,3.94,3.11,10,288,5750,13.82352941,28,9295,low
0,41,renault,gas,std,four,wagon,fwd,front,96.1,0.872176838,5.365975104,33.21334356,2579,ohc,four,132,mpfi,3.46,3.9,8.7,110,5250,10.2173913,31,9295,low
2,41,renault,gas,std,two,hatchback,fwd,front,96.1,0.849591543,5.465975104,28.51334356,2460,ohc,four,132,mpfi,3.46,3.9,8.7,110,5250,10.2173913,31,9895,low
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,11.19047619,28,11850,low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619,28,12170,low
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,11.19047619,28,15040,low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619,28,15510,low
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,12.36842105,26,18150,low
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,12.36842105,26,18620,mid
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.75396444,2.265975104,31.71334356,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,7.580645161,36,5118,low
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.758769822,2.465975104,31.71334356,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538,31,7053,low
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,0.755886593,2.665975104,33.71334356,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538,31,7603,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,7.34375,37,7126,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,8.392857143,33,7775,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,9.038461538,32,9960,low
0,102,subaru,gas,std,four,sedan,4wd,front,97,0.826525709,4.265975104,32.31334356,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,9.791666667,25,9233,low
0,102,subaru,gas,turbo,four,sedan,4wd,front,97,0.826525709,4.265975104,32.31334356,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,9.791666667,29,11259,low
0,89,subaru,gas,std,four,wagon,fwd,front,97,0.833733782,4.265975104,31.01334356,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,8.392857143,32,7463,low
0,89,subaru,gas,std,four,wagon,fwd,front,97,0.833733782,4.265975104,31.01334356,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,9.4,31,10198,low
0,85,subaru,gas,std,four,wagon,4wd,front,96.9,0.83421432,4.265975104,32.91334356,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,10.2173913,29,8013,low
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,0.83421432,4.265975104,32.91334356,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,10.2173913,23,11694,low
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.762614128,2.465975104,32.51334356,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,6.714285714,39,5348,low
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.762614128,2.465975104,32.51334356,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,7.580645161,38,6338,low
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,0.762614128,2.465975104,32.51334356,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,7.580645161,38,6488,low
0,77,toyota,gas,std,four,wagon,fwd,front,95.7,0.81547333,2.465975104,37.11334356,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,7.580645161,37,6918,low
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,0.81547333,2.465975104,37.11334356,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,8.703703704,32,7898,low
0,91,toyota,gas,std,four,wagon,4wd,front,95.7,0.81547333,2.465975104,37.11334356,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,8.703703704,32,8778,low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.799135031,3.265975104,31.01334356,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,7.833333333,37,6938,low
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.799135031,3.265975104,30.81334356,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,7.833333333,37,7198,low
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,0.799135031,3.265975104,31.01334356,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.911764706,36,7898,low
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,0.799135031,3.265975104,30.81334356,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.184210526,47,7788,low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.799135031,3.265975104,31.01334356,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,6.184210526,47,7738,low
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.799135031,3.265975104,30.81334356,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,8.392857143,34,8358,low
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.799135031,3.265975104,30.81334356,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,8.392857143,34,9258,low
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.810667948,2.865975104,30.61334356,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,8.103448276,34,8058,low
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.810667948,2.865975104,30.61334356,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,8.103448276,34,8238,low
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.810667948,2.865975104,30.61334356,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538,29,9298,low
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.810667948,2.865975104,30.61334356,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538,29,9538,low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.846708313,4.465975104,30.01334356,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,8449,low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.846708313,4.465975104,30.01334356,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,9639,low
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,0.846708313,4.465975104,30.01334356,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,9989,low
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.846708313,4.465975104,30.01334356,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,11199,low
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,0.846708313,4.465975104,30.01334356,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,11549,low
2,134,toyota,gas,std,two,convertible,rwd,front,98.4,0.846708313,4.465975104,31.01334356,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,9.791666667,30,17669,low
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,0.843825084,5.365975104,32.91334356,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.103448276,34,8948,low
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,0.843825084,5.365975104,32.91334356,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,7.833333333,33,10698,low
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,0.843825084,5.365975104,31.91334356,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703704,32,9988,low
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,0.843825084,5.365975104,32.91334356,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703704,32,10898,low
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,0.843825084,5.365975104,31.91334356,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703704,32,11248,low
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,0.881787602,6.565975104,30.01334356,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,11.75,24,16558,low
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,0.881787602,6.565975104,30.01334356,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,12.36842105,24,15998,low
-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,0.902450745,5.365975104,32.11334356,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,11.75,24,15690,low
-1,41,toyota,gas,std,four,wagon,rwd,front,104.5,0.902450745,5.365975104,32.11334356,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,12.36842105,24,15750,low
2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,6.351351351,46,7775,low
2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,8.703703704,34,7975,low
2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,6.351351351,46,7995,low
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,8.703703704,34,8195,low
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,8.703703704,34,8495,low
2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,6.351351351,42,9495,low
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.825084094,4.365975104,33.71334356,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,9.038461538,32,9995,low
3,41,volkswagen,gas,std,two,convertible,fwd,front,94.5,0.765497357,3.065975104,33.61334356,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,9.791666667,29,11595,low
3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,0.796251802,2.865975104,29.41334356,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,9.791666667,29,9980,low
0,41,volkswagen,gas,std,four,sedan,fwd,front,100.4,0.865929841,5.765975104,33.11334356,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,24,13295,low
0,41,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,0.865929841,5.765975104,33.11334356,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,7.121212121,38,13845,low
0,41,volkswagen,gas,std,four,wagon,fwd,front,100.4,0.879865449,5.765975104,33.11334356,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,9.4,31,12290,low
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,0.907256127,6.065975104,34.21334356,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.2173913,28,12940,low
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,0.907256127,6.065975104,35.51334356,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.2173913,28,13415,low
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,0.907256127,6.065975104,34.21334356,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,9.791666667,28,15985,low
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,0.907256127,6.065975104,35.51334356,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,9.791666667,28,16515,low
-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,0.907256127,6.065975104,34.21334356,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,13.82352941,22,18420,low
-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,0.907256127,6.065975104,35.51334356,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,13.82352941,22,18950,mid
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,0.907256127,7.765975104,33.51334356,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.2173913,28,16845,low
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,0.907256127,7.665975104,33.51334356,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,12.36842105,25,19045,mid
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,0.907256127,7.765975104,33.51334356,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,13.05555556,23,21485,mid
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,0.907256127,7.765975104,33.51334356,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,9.038461538,27,22470,mid
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,0.907256127,7.765975104,33.51334356,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,12.36842105,25,22625,mid
